[2026-01-05 18:57:53.881541] Suspicious TCP Traffic | Severity: Medium
[2026-01-05 18:57:55.886330] Suspicious TCP Traffic | Severity: Medium
[2026-01-07 19:56:05.788020] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.853608] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.855645] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.874241] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.874241] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.874241] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:05.887928] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.017799] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.035700] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.037721] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.037721] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.037721] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.049345] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.055384] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.116650] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.122900] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.126905] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.127890] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.127890] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.138733] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.140729] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.145603] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.145603] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.153571] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.157902] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.286025] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.286025] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.671601] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.671601] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.687535] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.690056] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:06.865790] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.006016] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.017680] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.039697] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.045362] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.045362] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.073378] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.157113] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.160120] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.164110] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.418404] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.418404] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.678261] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.703759] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.703759] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.709536] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.709536] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.719977] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.723371] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.723371] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.723371] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.723371] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.755258] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.755258] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.964172] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.979952] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.979952] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.979952] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.994238] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:07.995992] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:08.002852] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:08.166722] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:08.252975] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:09.797042] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:09.971417] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:09.998541] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.054374] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.060058] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.064224] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.102979] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.281839] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.317570] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:10.352935] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.771245] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.773263] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.777823] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.780695] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.889946] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.894949] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.898321] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.905108] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.945979] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.949010] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.953311] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:14.971758] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.049737] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.070193] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.073450] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.117477] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.129345] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:15.215315] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:16.070388] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:16.099244] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:17.294191] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:17.296486] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:17.312700] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:17.315465] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:17.315465] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.404409] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.407413] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.411713] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.412509] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.427411] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.427411] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.427411] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.438336] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.443937] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.933463] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.943499] TCP Burst | Severity: MEDIUM
[2026-01-07 19:56:18.946620] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.366669] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.370628] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.373626] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.415988] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.417434] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.499187] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.551258] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.554776] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.554776] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.601744] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.617594] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.619626] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.622613] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.624709] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.628260] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.628260] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.634468] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.636811] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.640366] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.641746] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.644032] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.647192] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.651344] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.653057] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.653057] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.659354] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.662370] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.664789] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.681422] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.683433] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.686929] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.688458] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.692415] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.692415] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.692415] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.699223] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.703192] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.705197] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.737355] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.739366] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.741674] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.744542] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.784154] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.784154] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.784154] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.799439] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.832400] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.832400] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.832400] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.842667] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.870041] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.872040] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.889785] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.889785] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.889785] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.896064] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.899076] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.901072] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.901072] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.901072] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.944884] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.947428] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.951244] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.954582] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.958134] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.958134] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.958134] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.964553] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.968611] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.970215] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.973205] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.973205] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.977247] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.978712] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.981732] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.983737] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.987081] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.989081] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.991084] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:11.992722] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.011332] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.011332] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.017366] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.019583] TCP Burst | Severity: MEDIUM
[2026-01-07 19:57:12.021594] TCP Burst | Severity: MEDIUM
